Threads,Run 1,Run 2,Run 3,Run 4,Run 5
1,134428,134393,134270,134798,134758
2,85887,85507,85105,86194,85189
4,47645,47415,47396,47444,47147
8,27927,27847,27854,27904,27872
16,20285,20334,19740,20115,20028
32,18531,18470,20035,18454,20097
64,18386,18498,18542,18457,18409
128,18457,18399,19926,18451,18426
256,18355,19979,18406,18333,18409
512,18397,18426,18386,19258,18352
1024,18528,18507,18532,19330,19567
